AGE	AGE_LABEL	AGE_HIERARCHY	AGE_PARENT	SEX	SEX_LABEL	SEX_HIERARCHY	TIME	ICD10_HIERARCHY	ICD10_PARENT	ICD10	ICD10_LABEL	Organ	Nb_death	Pop	Death_Rate	x	y	Sum_death_in_cat
TOTAL	Total	0	None	M	Males	1	2001	2	A_B	A_B_OTH	Other infectious and parasitic diseases (remainder of A00-B99)	General	3439.0	29578326	0.116267567	400	545	18308.0
TOTAL	Total	0	None	M	Males	1	2002	2	A_B	A_B_OTH	Other infectious and parasitic diseases (remainder of A00-B99)	General	3654.0	29778112	0.122707578	400	545	18545.0
TOTAL	Total	0	None	M	Males	1	2003	2	A_B	A_B_OTH	Other infectious and parasitic diseases (remainder of A00-B99)	General	3898.0	29976600	0.13003476	400	545	18510.0
TOTAL	Total	0	None	M	Males	1	2004	2	A_B	A_B_OTH	Other infectious and parasitic diseases (remainder of A00-B99)	General	3469.0	30171688	0.114975337	400	545	17431.0
TOTAL	Total	0	None	M	Males	1	2005	2	A_B	A_B_OTH	Other infectious and parasitic diseases (remainder of A00-B99)	General	3648.0	30385862	0.120055834	400	545	17894.0
TOTAL	Total	0	None	M	Males	1	2006	2	A_B	A_B_OTH	Other infectious and parasitic diseases (remainder of A00-B99)	General	3854.0	30591100	0.125984355	400	545	17822.0
TOTAL	Total	0	None	M	Males	1	2007	2	A_B	A_B_OTH	Other infectious and parasitic diseases (remainder of A00-B99)	General	3897.0	30803233	0.126512694	400	545	18018.0
TOTAL	Total	0	None	M	Males	1	2008	2	A_B	A_B_OTH	Other infectious and parasitic diseases (remainder of A00-B99)	General	4111.0	30980230	0.13269753	400	545	17952.0
TOTAL	Total	0	None	F	Females	1	2001	2	A_B	A_B_OTH	Other infectious and parasitic diseases (remainder of A00-B99)	General	3954.0	31400989	0.125919601	400	545	13793.0
TOTAL	Total	0	None	F	Females	1	2002	2	A_B	A_B_OTH	Other infectious and parasitic diseases (remainder of A00-B99)	General	4070.0	31645924	0.12861056	400	545	13946.0
TOTAL	Total	0	None	F	Females	1	2003	2	A_B	A_B_OTH	Other infectious and parasitic diseases (remainder of A00-B99)	General	4761.0	31887488	0.149306211	400	545	14564.0
TOTAL	Total	0	None	F	Females	1	2004	2	A_B	A_B_OTH	Other infectious and parasitic diseases (remainder of A00-B99)	General	3826.0	32120553	0.119113765	400	545	13529.0
TOTAL	Total	0	None	F	Females	1	2005	2	A_B	A_B_OTH	Other infectious and parasitic diseases (remainder of A00-B99)	General	4058.0	32387008	0.125297156	400	545	13650.0
TOTAL	Total	0	None	F	Females	1	2006	2	A_B	A_B_OTH	Other infectious and parasitic diseases (remainder of A00-B99)	General	4067.0	32638535	0.124607309	400	545	13604.0
TOTAL	Total	0	None	F	Females	1	2007	2	A_B	A_B_OTH	Other infectious and parasitic diseases (remainder of A00-B99)	General	4106.0	32841832	0.125023476	400	545	13413.0
TOTAL	Total	0	None	F	Females	1	2008	2	A_B	A_B_OTH	Other infectious and parasitic diseases (remainder of A00-B99)	General	4637.0	33026963	0.140400436	400	545	14065.0
TOTAL	Total	0	None	M	Males	1	2001	2	A_B	A15-A19_B90	Tuberculosis	Lung	545.0	29578326	0.018425654	230	460	44219.0
TOTAL	Total	0	None	M	Males	1	2002	2	A_B	A15-A19_B90	Tuberculosis	Lung	507.0	29778112	0.017025928	230	460	45067.0
TOTAL	Total	0	None	M	Males	1	2003	2	A_B	A15-A19_B90	Tuberculosis	Lung	518.0	29976600	0.017280145	230	460	46765.0
TOTAL	Total	0	None	M	Males	1	2004	2	A_B	A15-A19_B90	Tuberculosis	Lung	433.0	30171688	0.014351202	230	460	43681.0
TOTAL	Total	0	None	M	Males	1	2005	2	A_B	A15-A19_B90	Tuberculosis	Lung	443.0	30385862	0.014579149	230	460	46937.0
TOTAL	Total	0	None	M	Males	1	2006	2	A_B	A15-A19_B90	Tuberculosis	Lung	402.0	30591100	0.013141077	230	460	44737.0
TOTAL	Total	0	None	M	Males	1	2007	2	A_B	A15-A19_B90	Tuberculosis	Lung	364.0	30803233	0.011816941	230	460	45600.0
TOTAL	Total	0	None	M	Males	1	2008	2	A_B	A15-A19_B90	Tuberculosis	Lung	343.0	30980230	0.011071577	230	460	46046.0
