AGE	AGE_LABEL	Death_Rate	ICD10	ICD10_LABEL	Nb_death	Organ	Pop	SEX	SEX_LABEL	Sum_death_in_cat	TIME	x	y
TOTAL	Total	0.099464723	C91-C95	Leukaemia	2942.0	Blood	29578326	M	Males	2942.0	2001	265	280
TOTAL	Total	0.076685483	C91-C95	Leukaemia	2408.0	Blood	31400989	F	Females	2408.0	2001	265	280
TOTAL	Total	0.076685483	ALL	All Diseases	2408.0	Blood	31400989	F	Females	2408.0	2001	265	280
TOTAL	Total	0.099464723	ALL	All Diseases	2942.0	Blood	29578326	M	Males	2942.0	2001	265	280
TOTAL	Total	0.055175536	C70-C72	Malignant neoplasm of brain and central nervous system	1632.0	Brain	29578326	M	Males	1632.0	2001	305	580
TOTAL	Total	0.043597353	C70-C72	Malignant neoplasm of brain and central nervous system	1369.0	Brain	31400989	F	Females	1369.0	2001	305	580
TOTAL	Total	0.043597353	ALL	All Diseases	1369.0	Brain	31400989	F	Females	1369.0	2001	305	580
TOTAL	Total	0.055175536	ALL	All Diseases	1632.0	Brain	29578326	M	Males	1632.0	2001	305	580
TOTAL	Total	0.005984111	C50	Malignant neoplasm of breast	177.0	Breast	29578326	M	Males	177.0	2001	320	460
TOTAL	Total	0.353109897	C50	Malignant neoplasm of breast	11088.0	Breast	31400989	F	Females	11088.0	2001	320	460
TOTAL	Total	0.353109897	ALL	All Diseases	11088.0	Breast	31400989	F	Females	11088.0	2001	320	460
TOTAL	Total	0.005984111	ALL	All Diseases	177.0	Breast	29578326	M	Males	177.0	2001	320	460
TOTAL	Total	0.435284945	I_OTH	Other diseases of the circulatory system (remainder of I00-I99)	12875.0	Circulatory system	29578326	M	Males	12875.0	2001	230	300
TOTAL	Total	0.52033393	I_OTH	Other diseases of the circulatory system (remainder of I00-I99)	16339.0	Circulatory system	31400989	F	Females	16339.0	2001	230	300
TOTAL	Total	0.52033393	ALL	All Diseases	16339.0	Circulatory system	31400989	F	Females	16339.0	2001	230	300
TOTAL	Total	0.435284945	ALL	All Diseases	12875.0	Circulatory system	29578326	M	Males	12875.0	2001	230	300
TOTAL	Total	0.287913522	C18-C21	Malignant neoplasm of colon. rectosigmoid junction. rectum. anus and anal canal	8516.0	Colo-Rectum	29578326	M	Males	8516.0	2001	265	355
TOTAL	Total	0.240947825	C18-C21	Malignant neoplasm of colon. rectosigmoid junction. rectum. anus and anal canal	7566.0	Colo-Rectum	31400989	F	Females	7566.0	2001	265	355
TOTAL	Total	0.240947825	ALL	All Diseases	7566.0	Colo-Rectum	31400989	F	Females	7566.0	2001	265	355
TOTAL	Total	0.287913522	ALL	All Diseases	8516.0	Colo-Rectum	29578326	M	Males	8516.0	2001	265	355
TOTAL	Total	0.548475935	I60-I69	Cerebrovascular diseases	16223.0	Digestive System	29578326	M	Males	22789.0	2001	278	380
TOTAL	Total	0.719690708	I60-I69	Cerebrovascular diseases	22599.0	Digestive System	31400989	F	Females	30908.0	2001	278	380
TOTAL	Total	0.22198687	K_OTH	Other diseases of the digestive system (remainder of K00-K93)	6566.0	Digestive System	29578326	M	Males	22789.0	2001	278	380
TOTAL	Total	0.2646095	K_OTH	Other diseases of the digestive system (remainder of K00-K93)	8309.0	Digestive System	31400989	F	Females	30908.0	2001	278	380
TOTAL	Total	0.984300208	ALL	All Diseases	30908.0	Digestive System	31400989	F	Females	30908.0	2001	278	380
TOTAL	Total	0.770462804	ALL	All Diseases	22789.0	Digestive System	29578326	M	Males	22789.0	2001	278	380
TOTAL	Total	0.116267567	A_B_OTH	Other infectious and parasitic diseases (remainder of A00-B99)	3439.0	General	29578326	M	Males	18308.0	2001	400	545
TOTAL	Total	0.125919601	A_B_OTH	Other infectious and parasitic diseases (remainder of A00-B99)	3954.0	General	31400989	F	Females	13793.0	2001	400	545
TOTAL	Total	0.030157217	B20-B24	Human immunodeficiency virus [HIV] disease	892.0	General	29578326	M	Males	18308.0	2001	400	545
TOTAL	Total	0.00789784	B20-B24	Human immunodeficiency virus [HIV] disease	248.0	General	31400989	F	Females	13793.0	2001	400	545
TOTAL	Total	0.472541955	C_OTH	Other malignant neoplasms (remainder of C00-C97)	13977.0	General	29578326	M	Males	18308.0	2001	400	545
TOTAL	Total	0.30543624	C_OTH	Other malignant neoplasms (remainder of C00-C97)	9591.0	General	31400989	F	Females	13793.0	2001	400	545
TOTAL	Total	0.439253681	ALL	All Diseases	13793.0	General	31400989	F	Females	13793.0	2001	400	545
TOTAL	Total	0.618966739	ALL	All Diseases	18308.0	General	29578326	M	Males	18308.0	2001	400	545
TOTAL	Total	0.0	C53	Malignant neoplasm of cervix uteri		Genitourinary system	29578326	M	Males	6929.0	2001	265	330
TOTAL	Total	0.025253982	C53	Malignant neoplasm of cervix uteri	793.0	Genitourinary system	31400989	F	Females	11268.0	2001	265	330
TOTAL	Total	0.0	C54_C55	Malignant neoplasm of other parts of uterus		Genitourinary system	29578326	M	Males	6929.0	2001	265	330
TOTAL	Total	0.069806719	C54_C55	Malignant neoplasm of other parts of uterus	2192.0	Genitourinary system	31400989	F	Females	11268.0	2001	265	330
TOTAL	Total	0.0	C56	Malignant neoplasm of ovary		Genitourinary system	29578326	M	Males	6929.0	2001	265	330
TOTAL	Total	0.103818386	C56	Malignant neoplasm of ovary	3260.0	Genitourinary system	31400989	F	Females	11268.0	2001	265	330
TOTAL	Total	0.109235391	C67	Malignant neoplasm of bladder	3231.0	Genitourinary system	29578326	M	Males	6929.0	2001	265	330
TOTAL	Total	0.032769668	C67	Malignant neoplasm of bladder	1029.0	Genitourinary system	31400989	F	Females	11268.0	2001	265	330
TOTAL	Total	0.030055792	N_OTH	Other diseases of the genitourinary system (remainder of N00-N99)	889.0	Genitourinary system	29578326	M	Males	6929.0	2001	265	330
TOTAL	Total	0.029871671	N_OTH	Other diseases of the genitourinary system (remainder of N00-N99)	938.0	Genitourinary system	31400989	F	Females	11268.0	2001	265	330
TOTAL	Total	0.094968187	N00-N29	Diseases of kidney and ureter	2809.0	Genitourinary system	29578326	M	Males	6929.0	2001	265	330
TOTAL	Total	0.097321775	N00-N29	Diseases of kidney and ureter	3056.0	Genitourinary system	31400989	F	Females	11268.0	2001	265	330
TOTAL	Total	0.358842201	ALL	All Diseases	11268.0	Genitourinary system	31400989	F	Females	11268.0	2001	265	330
TOTAL	Total	0.23425937	ALL	All Diseases	6929.0	Genitourinary system	29578326	M	Males	6929.0	2001	265	330
TOTAL	Total	0.35137215	I20_I23-I25	Other ischaemic heart diseases	10393.0	Heart	29578326	M	Males	46252.0	2001	290	450
TOTAL	Total	0.290277481	I20_I23-I25	Other ischaemic heart diseases	9115.0	Heart	31400989	F	Females	48787.0	2001	290	450
TOTAL	Total	0.490899992	I21_I22	Acute myocardial infarction including subsequent myocardial infarction	14520.0	Heart	29578326	M	Males	46252.0	2001	290	450
TOTAL	Total	0.350625899	I21_I22	Acute myocardial infarction including subsequent myocardial infarction	11010.0	Heart	31400989	F	Females	48787.0	2001	290	450
TOTAL	Total	0.721440422	I30-I51	Other heart diseases	21339.0	Heart	29578326	M	Males	46252.0	2001	290	450
TOTAL	Total	0.912773798	I30-I51	Other heart diseases	28662.0	Heart	31400989	F	Females	48787.0	2001	290	450
TOTAL	Total	1.553677179	ALL	All Diseases	48787.0	Heart	31400989	F	Females	48787.0	2001	290	450
TOTAL	Total	1.563712564	ALL	All Diseases	46252.0	Heart	29578326	M	Males	46252.0	2001	290	450
TOTAL	Total	0.065487141	C64	Malignant neoplasm of kidney. except renal pelvis	1937.0	Kidney	29578326	M	Males	1937.0	2001	310	360
TOTAL	Total	0.035826897	C64	Malignant neoplasm of kidney. except renal pelvis	1125.0	Kidney	31400989	F	Females	1125.0	2001	310	360
TOTAL	Total	0.035826897	ALL	All Diseases	1125.0	Kidney	31400989	F	Females	1125.0	2001	310	360
TOTAL	Total	0.065487141	ALL	All Diseases	1937.0	Kidney	29578326	M	Males	1937.0	2001	310	360
TOTAL	Total	0.055479813	C32	Malignant neoplasm of larynx	1641.0	Larynx	29578326	M	Males	1641.0	2001	278	523
TOTAL	Total	0.004458458	C32	Malignant neoplasm of larynx	140.0	Larynx	31400989	F	Females	140.0	2001	278	523
TOTAL	Total	0.004458458	ALL	All Diseases	140.0	Larynx	31400989	F	Females	140.0	2001	278	523
TOTAL	Total	0.055479813	ALL	All Diseases	1641.0	Larynx	29578326	M	Males	1641.0	2001	278	523
TOTAL	Total	0.015923822	B15-B19_B942	Viral hepatitis and sequelae of viral hepatitis	471.0	Liver	29578326	M	Males	20259.0	2001	260	410
TOTAL	Total	0.013980451	B15-B19_B942	Viral hepatitis and sequelae of viral hepatitis	439.0	Liver	31400989	F	Females	16414.0	2001	260	410
TOTAL	Total	0.1777653	C22	Malignant neoplasm of liver and intrahepatic bile ducts	5258.0	Liver	29578326	M	Males	20259.0	2001	260	410
TOTAL	Total	0.054297653	C22	Malignant neoplasm of liver and intrahepatic bile ducts	1705.0	Liver	31400989	F	Females	16414.0	2001	260	410
TOTAL	Total	0.102710343	E_OTH	Other endocrine. nutritional and metabolic diseases (remainder of E00-E90)	3038.0	Liver	29578326	M	Males	20259.0	2001	260	410
TOTAL	Total	0.173402182	E_OTH	Other endocrine. nutritional and metabolic diseases (remainder of E00-E90)	5445.0	Liver	31400989	F	Females	16414.0	2001	260	410
TOTAL	Total	0.179793813	E10-E14	Diabetes mellitus	5318.0	Liver	29578326	M	Males	20259.0	2001	260	410
TOTAL	Total	0.198178471	E10-E14	Diabetes mellitus	6223.0	Liver	31400989	F	Females	16414.0	2001	260	410
TOTAL	Total	0.208733922	K70_K73_K74	Chronic liver disease	6174.0	Liver	29578326	M	Males	20259.0	2001	260	410
TOTAL	Total	0.082863632	K70_K73_K74	Chronic liver disease	2602.0	Liver	31400989	F	Females	16414.0	2001	260	410
TOTAL	Total	0.522722389	ALL	All Diseases	16414.0	Liver	31400989	F	Females	16414.0	2001	260	410
TOTAL	Total	0.6849272	ALL	All Diseases	20259.0	Liver	29578326	M	Males	20259.0	2001	260	410
TOTAL	Total	0.018425654	A15-A19_B90	Tuberculosis	545.0	Lung	29578326	M	Males	44219.0	2001	230	460
TOTAL	Total	0.016432603	A15-A19_B90	Tuberculosis	516.0	Lung	31400989	F	Females	23623.0	2001	230	460
TOTAL	Total	0.703758556	C33_C34	Malignant neoplasm of trachea. bronchus and lung	20816.0	Lung	29578326	M	Males	44219.0	2001	230	460
TOTAL	Total	0.14279805	C33_C34	Malignant neoplasm of trachea. bronchus and lung	4484.0	Lung	31400989	F	Females	23623.0	2001	230	460
TOTAL	Total	0.22661864	J_OTH	Other diseases of the respiratory system (remainder of J00-J99)	6703.0	Lung	29578326	M	Males	44219.0	2001	230	460
TOTAL	Total	0.196426934	J_OTH	Other diseases of the respiratory system (remainder of J00-J99)	6168.0	Lung	31400989	F	Females	23623.0	2001	230	460
